gene	log2FoldChange
Foxc1	-4.760913004
Grik1	-6.082393688
Camk4	-4.033419173
Mki67	2.439288731
Wif1	2.386508628
Fchsd1	-1.933189785
Il31ra	-3.039812711
Top2a	2.246025986
Enc1	-1.723317214
Anln	1.956681646
Arhgdib	2.287899202
Bgn	1.725655567
Fmn1	-2.012804478
Gpc6	-2.221126051
Fhdc1	-1.463502626
Cyp2b10	-2.350234594
Car12	1.562284136
Tpx2	2.685280301
Atp6v1b1	2.772877147
Plxna2	-1.604664291
Kcnk2	-1.830445855
Pdgfc	2.085922294
Arhgap11a	2.132696105
Prc1	1.879617818
Kcnma1	-2.598461536
Sbsn	-1.001108241
Egflam	1.680446838
Panx1	1.608328635
Col4a4	-3.623098546
Plcl1	1.815582427
Slc38a4	2.087668032
Cd34	-1.182536111
Ctsl	-1.331681293
Mt1	1.279256047
Adm	-1.498654261
Icam1	1.307798927
D17H6S56E-5	2.369484949
Serpinb1a	1.990269676
Iqgap3	2.400344545
Plcg2	-1.333751629
Ube2c	2.526969738
Cdk1	2.406772075
Flnc	-1.819054299
Itih5	2.160097553
Psmb8	1.530947078
Rassf9	1.687228396
Adamtsl4	-1.172702769
Cacna1c	-1.354234842
Smim3	1.760456008
Scube2	-1.166756049
Ect2	2.282856021
Gabre	-2.139288024
Ecm1	-1.248314341
Pbk	3.093583147
Mdfic	1.695589498
4732456N10Rik	-2.087432256
Bcar3	-1.224432861
Ptch2	3.064656867
Nrep	-1.627083359
Zyx	-1.308464957
Dct	2.127267459
Papln	-1.588837652
B2m	1.115135875
Gli1	1.128578046
Kif20a	2.651479231
Steap4	1.073589647
Cdca8	2.655906416
Pappa	1.667551608
Smox	1.76863495
Cyp26b1	-1.361690203
Edn1	1.854758073
1810011O10Rik	1.727660173
Kntc1	2.701355153
Ctnnd2	1.583773169
Esyt3	-1.070914999
2810417H13Rik	2.681354169
Il1rn	1.136653305
Casp4	1.983707592
Bmp6	-1.684108607
Gfra2	-1.999000126
Pla2g7	2.523826261
St5	1.597805491
Nusap1	2.537790066
Slc2a1	-0.98800131
Nuak2	-1.467754529
Niacr1	1.586577209
S100a4	-1.147005217
BC034090	-1.557542806
Casc5	2.770493884
Ugdh	-1.010782205
Sorcs2	1.407171852
Rapgef3	-1.716717824
Kif23	2.409861918
Bok	-1.04074889
Glrb	1.606368298
Hivep3	-1.517690351
Kif4	2.301824106
Gfra1	-1.068703427
C630043F03Rik	2.8409164
Mad2l1	2.223207599
Scn5a	-2.624620345
Sorcs3	1.492388396
Ssfa2	-0.937212184
Sdk2	-1.316859691
Tnk1	0.983569639
Fam26e	-1.608691166
Car13	1.184700383
Actb	-0.939661993
Osgin1	-1.297073262
2810055G20Rik	1.14636893
Fam171b	-1.254540643
Pmaip1	1.12758835
Smarca2	-0.919968606
Ncapd2	1.260568618
Ngf	-1.193699416
Kif11	1.808140458
Wnk4	-1.068185163
Fbn2	1.99664133
Hexb	-1.297736545
Racgap1	2.03419164
Krt2	-2.545453354
Gfpt2	1.469094685
Chl1	1.377580487
Igf2bp2	2.05025306
Matn2	-1.109963177
Ucp2	1.084227268
Shcbp1	2.688570671
Sema3e	-1.371796807
Il6ra	1.000267903
Dtl	1.75512752
Gclc	-1.354900967
Dsg2	0.992994167
Cenpe	1.951769612
Aspm	2.306146989
Fam64a	3.121607598
Kif22	2.40306748
Cbr2	-1.227371883
Fam213a	-1.559512326
Scrg1	1.436322768
Krt80	-0.847857964
Utp14b	-1.055346621
Ctsc	1.591398772
Sncg	-1.135758506
Gm13212	2.998486307
Mcm5	1.200850884
Slc6a6	-1.013440635
Cry1	-1.145947339
Chat	-1.009269614
Marcks	0.877776932
Cenpf	1.85462089
Spag5	1.993253887
Cep55	2.552857262
Nt5e	-0.982646796
Smc2	1.300796297
Ikzf2	2.384739405
Tle4	-0.918694099
Sh3rf1	-0.914010701
Krt75	-1.446245518
Lgals9	1.2092786
Dock8	-1.119843019
Cmah	2.463202139
Ier3	-0.859066274
Pard6b	-0.95029612
Rad51ap1	2.961642359
Enpp5	-1.678634595
Ahr	0.952341983
Stmn1	1.198339626
Sytl2	1.034339514
Pltp	0.900613696
Inpp5j	2.464352174
Nuf2	2.672209136
Tnfsf9	1.925947774
Chek1	2.379110965
Mat2a	-1.077155718
Serpinb6c	-2.155200538
2810001G20Rik	2.648487059
Irak3	1.395966325
Sipa1l2	-0.936212747
Kif2c	2.670150033
Ngef	-1.25109868
Rbp1	1.428801184
Cdc20	1.555153492
Dsp	-0.72149006
Il24	1.973294881
Psmb9	1.494577778
Slc29a1	-0.873711226
Hyal1	-1.198740779
Errfi1	-1.196450693
Ccdc34	1.49244335
Bdnf	-1.480688331
Ehbp1l1	-0.8816664
Tgfa	0.829170961
Cacna2d2	-1.507065197
Col18a1	-0.952084798
Trpv4	-0.79918213
H2-D1	0.932506962
Itga5	-0.938339964
Reep1	2.436149443
Myh14	-0.912469712
Cdca3	2.13369363
Mitf	-0.925252826
Ccl1	2.750765026
Unc79	-1.211549568
Tnfrsf11b	-1.330920178
Mical2	-1.054177548
Dhrs9	-1.297062271
Pde4b	0.980040887
Stra6	2.789000819
Nabp1	-1.21462812
Ifngr1	1.230523197
Bub1b	1.951340124
Smad3	1.157393622
H2-Q4	0.748025251
Pcdh1	-0.79149903
Rbm47	1.568080129
Tns4	-0.750081246
Lpcat2	-1.021750154
A830039N20Rik	-2.528675248
Cenpi	1.99288168
Fam46b	-0.897954647
Ovol1	-1.103815586
Fam46c	-0.86160342
Ppfibp2	-0.819360345
Htra1	1.087386726
Mill1	1.127503207
Lmcd1	1.220513905
Srgap3	-1.279557577
Gpsm2	-0.989509676
Btg2	-1.060232321
Dlx2	-1.419604505
Myc	-0.80962397
RNF8	2.364649848
Rnf152	-0.924761705
Ticrr	2.46340338
Ypel4	2.461309242
Tslp	1.87942587
Aff3	-1.097579426
Basp1	1.978040714
Cxadr	0.771509469
Mgp	1.874357515
Rhob	-0.899152478
Serpinb9	1.815248964
Tacc3	1.588472965
BC064078	1.042092476
Ddit4	0.874532723
Sardh	-1.046075545
Dhcr7	-0.959147078
Galnt18	-0.851860252
Slco2b1	1.8061686
Parpbp	2.687318311
Mcm2	1.308134042
Fth1	0.782066615
Dusp1	-0.93791995
Depdc1a	2.497710593
Plat	-0.824112179
Coro2a	-1.189485791
Ncaph	1.590341472
Tyrp1	1.870006581
Cnksr3	-1.082298226
Mycl	2.186207722
Nab2	-0.731994956
Filip1l	-0.921698378
Arhgap44	-0.723193652
Slc16a3	1.773983394
Foxm1	1.270743932
Klf3	-0.774511373
Ifnar2	1.391158967
Gm8994	2.58826659
Fndc1	2.122074734
Postn	-0.80676007
Thsd4	2.256667173
Ptpre	-1.186849567
Sdc1	-0.687454577
Atp6v0a4	1.405930812
Ckap2l	1.873283911
Plk2	1.092443277
Scd2	1.461349128
Arid5a	-0.695434129
Sh3bgrl	1.132454787
Epha2	-0.80551209
Igdcc4	-0.808877086
Mfap2	2.085296973
Myh10	-1.376904166
Kif15	2.037534525
Timeless	1.767429219
Ifi202b	1.713376235
Ammecr1	1.034658308
2700099C18Rik	2.438104272
Gpc1	0.81985682
Lypd3	-0.96930634
Pmel	2.142937462
Laptm4b	-0.845741558
Dock9	-0.717243414
Tuba8	-1.225398811
Arhgef28	-0.802240313
Stap2	1.146937683
Cadm1	-0.738893047
C1qtnf3	1.729598985
Phlda3	-0.702877338
BC039771	2.500392762
Cxcl2	1.434787482
Dbi	-0.855841047
Klhl29	-0.894636209
Gins2	1.23173432
P2ry10	2.341307804
Efnb1	-1.073430235
Phc2	-0.720428162
Dpy19l3	-0.865479298
Hbegf	-0.871817743
Mfap3l	0.728523839
Hpgd	1.050445456
Diap3	1.268502991
Zhx3	-0.935296784
A030009H04Rik	-1.069685954
Cd68	-0.993778874
2510009E07Rik	-0.825034904
Apoc1	0.977222025
Ly6e	1.189400628
Marcksl1	-0.946611515
Oaf	1.170965131
Palld	-0.733077683
Ppp1r3c	-1.722893851
Slc39a8	-0.751927567
Wdr35	-0.794281248
Dusp6	-0.7212921
Abhd2	0.819815257
Cdca7l	1.210592498
Man2a2	0.690611022
Ccnb1	1.917658031
Brca1	2.115025418
Parva	0.750001111
C330027C09Rik	1.527238643
Elovl7	1.033123294
Itprip	-0.974310934
Adra2a	-1.878236238
Hmgn2	0.793700342
Ano7	1.867769897
Ifi27	0.741914931
Man1a	0.819462001
Cyp27a1	1.242155586
Ltb4r1	-0.955263213
Slco3a1	1.031229493
Dusp7	-0.912344342
St3gal2	-0.859046813
Cystm1	-1.221039997
Ppp1r13l	-0.616145347
2610203C20Rik	1.384738429
Casp14	1.375776276
Cxcl10	1.810780082
Cyr61	-0.928611092
Sgol2	2.144252315
Ralgds	0.629049543
Lrrc41	-0.695744977
Mcm10	2.011115078
Mettl17	1.06017894
Trp73	0.928831979
Srrm4	-1.087343734
Crybg3	0.846693312
Acp5	1.089725869
Ccnb2	1.886370763
Camsap3	-0.771385092
Ccna2	1.56592065
Zfp712	1.925730312
Ptprc	2.069430309
Slpi	1.900224555
Vcam1	1.490422098
Dapk1	-1.161891836
