gene	P43_HG	P56_bulge	P56_HG	P69_bulge	P69_HG
0610005C13Rik	-0.0999489886252265	-0.0999489886252265	-0.084054219215397	-0.255827865672798	0.193031710708695
0610007C21Rik	-0.929738834798439	-0.0869750089813781	-0.762986986133471	0.434816659037896	-1.74045981935526
0610007P08Rik	-0.0902023292290925	-0.0249925356583827	-0.00283996388938323	0.0402393874783566	0.0752891382547238
0610007P14Rik	-0.054339063051712	-0.054339063051712	0.275408668868922	-0.105806399860079	-0.671468515617438
0610007P22Rik	-0.454435117529341	0.120553064698729	-0.158960444830162	0.0342042352974117	-1.09068593517025
0610008F07Rik	0.0415880894350966	0.28379765338935	0.259274276693272	0.186357393898264	0.474234484080682
0610009B22Rik	0.106448106179071	0.364017783357406	-0.0416100094643745	0.15381265696937	-0.517596016544639
0610009D07Rik	0.186800286269102	0.0756245558685151	0.478126479242876	-0.084903608696751	0.302042419645543
0610009O20Rik	-0.311519410604114	-0.0717958965535486	-0.485503568628132	-0.0292128780550964	0.155076328730755
0610010B08Rik	-0.441184260815253	-0.0460572889948856	0.470226856220026	0.140027572934506	-0.0276630120415771
0610010K14Rik	-0.916004468227265	0.111509368411984	-0.718454126936324	-0.508886547961747	-1.05777562708602
0610010O12Rik	-1.64204145054572	0.00139363102531043	-1.044423431384	-0.255594921939807	-1.43525182716006
0610011L14Rik	0.125700103507144	0.368678514502006	-0.718084899942362	-0.183274562694256	-0.833747531886117
0610012G03Rik	0.0865294224933795	0.28269693480749	0.270836433112997	-0.0711503995453597	0.01359769986838
0610031J06Rik	-0.336426661809194	0.0977303135728906	0.186595280395611	0.0945667992790131	-1.19526971803933
0610037L13Rik	-0.292485340537895	-0.00313359219529685	-0.00608490537060558	-0.0797885447277187	-0.656040364054639
0610037P05Rik	0.667828887717345	0.0175864716162053	-0.049307795570078	0.00928266568659453	-0.220468806248162
0610040J01Rik	-0.0615564300058331	0	0.260490729489526	0	0.683340131564679
0910001L09Rik	-0.428649393468018	0.30375517498649	0.0980142255978089	-0.26356273223732	-0.274202925993488
1-Sep	-0.0541076258963935	0.226054634290433	-0.0541076258963935	-0.0122864287689923	0.124968292779805
10-Sep	-1.42186630368352	-0.725499789783668	-0.791971891485519	0.222654042035005	-0.993693160791064
100043387	-0.630896470724297	-0.196683129031826	-0.397644242124999	0.0875428008771877	-0.260260629921168
11-Sep	-0.178953589481234	0.0209239321337851	0.0331308058641229	0.0546017798941403	-0.0824556516564625
1100001G20Rik	0.208024765686377	-0.146284392843082	0.273658336208727	-0.0763300474109272	0.407455567652679
1110001A16Rik	-0.758244896960464	0.131421943473249	-1.05688162118911	-0.255666810212867	-0.704777055609139
1110001J03Rik	-0.528855844279864	0.154689800818287	-0.413994775649635	-0.337212137615823	-0.338687947856272
1110002B05Rik	0.170785131832561	-0.17886975398609	-0.660327806408551	-0.17886975398609	0.0722441832160765
1110002N22Rik	-0.84745441906596	-0.211436885208156	-0.722630892649703	-0.023303956074062	-0.710767030702882
1110003E01Rik	-0.164760916903117	0.102382402206521	-0.380223401302978	0.236476675740908	-0.312378237971297
1110004E09Rik	-0.078109435804059	0.128982123159477	0.0217562835434997	-0.235200657583405	0.193587332392257
1110004F10Rik	-0.0459276407910405	-0.21016081648871	-0.0376149132564283	0.083218882505717	-0.280058129410889
1110005A03Rik	-0.111554456216572	0.142967111938312	-0.116348919165519	0.463022679958305	-0.517819806651646
1110006O24Rik	-0.0872251753058659	0.157031577009828	0.145403371470376	0.0236232192321513	0.242774599811283
1110007C09Rik	-0.914337609939802	0.219429999069202	-0.708137422315611	0.024500133256014	-0.882262365492542
1110008F13Rik	0.446983574967058	-0.0406712488623135	-0.116190378234439	-0.106810388535816	-0.403145930439987
1110008J03Rik	-0.770825746234046	-0.0249064959853111	-0.203769851127334	0.0047424795257589	-0.369730621770009
1110008P14Rik	-0.277035915985278	0.0555338544123867	0.0103489570635187	-0.0886959228553046	0.0298010155114667
1110012L19Rik	-0.542642684741767	0.21473133763276	-0.0526926944409816	0.159455092007377	-0.494521922480572
1110018J18Rik	0.341049144985443	0.102134688627458	-0.442151023146093	0.606667866076465	-0.0655116532027344
1110021J02Rik	-0.296540317337167	0.0737053679634139	-0.285297179005187	0	-0.00579698355345926
1110031I02Rik	-0.63365318956977	0.417568584619247	-0.53014692506137	0.038892225857964	-0.688049066796165
1110032A03Rik	-0.991860096834587	-0.00296404101111936	-0.777237355940976	-0.0617115172307487	-1.00038213241884
1110032A04Rik	0.314476487017807	-0.323668855495213	-0.155694451977469	-0.357954770696994	-0.509519241060512
1110034A24Rik	-0.042202969195456	0.118242361365617	0.310958099352709	-0.101737881720371	0.152486711940387
1110034B05Rik	0.137888133545591	-0.0313489653412873	0.0425438263884068	0.124776717293825	-0.204009984141311
1110035H17Rik	-0.57986167666818	0.0556626966130338	-0.246017837607985	-0.190970928278357	-0.278705545668419
1110037F02Rik	-0.0651714033972324	0.179608623596591	-0.0549902077699835	-0.0330948149546186	-0.404898630798574
1110038D17Rik	0	0.0286536990312953	-0.607079220123772	0.198126868516969	0.292904408978357
1110038F14Rik	0.225951999560658	0	-0.161458313458519	-0.23408450625638	-0.784189205256018
1110049F12Rik	-0.12339784030613	-0.0486480998575809	-0.169000926251798	0.0226614119304864	0.18810771297635
1110051M20Rik	-0.182636127727986	-0.187327647610409	0.429042518403002	0.192695426841653	0.0580875328775958
1110054M08Rik	-1.00788018179619	0.0354757793999694	-0.851005024754098	0.0895126813351856	-0.574376672113129
1110057K04Rik	-0.0457387186280123	0.0224289956561732	-0.130670423013609	-0.00960081059144713	-0.719484304029709
1110058L19Rik	0.132006666788359	0.161546758846726	0.161546758846726	-0.160249547477082	-0.30571095143702
1110059E24Rik	0	-0.295624329651535	-0.441239951657906	0.0663554841858591	-0.140365367072205
1110059G10Rik	-1.10212223089195	-0.151181183730252	-0.803648453509748	-0.0113304080624026	-0.82504236576187
1110067D22Rik	-0.501622359266081	-0.349170891092325	-0.0178097458250841	-0.29127081413018	0.335246509143655
1190002H23Rik	0.996968380092288	0.213872509449146	1.39688441177039	-0.395919198371638	2.70090942313695
1190002N15Rik	-1.39307524070593	-0.182113818074702	-2.07233083713099	-0.73200270701029	-0.906979708883922
1190005F20Rik	0.178271384383486	0.185425987342674	0.586507930899155	-0.0148189207769178	-0.451928758183063
1190005I06Rik	-1.82505923960116	-0.0619897415740391	-2.20606303421953	-0.318462306101618	-1.48538245212113
1200003I10Rik	1.37374914933488	-0.11976834027262	2.29888255081635	0.857713025475107	3.018475749815
1200011I18Rik	0.0508621434010661	-0.036242191045718	-0.497605888601168	0.0146085636716173	0.159721787678924
1200011M11Rik	-0.014979671850802	-0.0349864477609616	-0.204577585056556	0.22281284611219	-1.05602973966069
1200014J11Rik	0.263014795270401	0.043237666102165	-0.222110133495396	-0.089290277033296	-0.544384022988229
1200015M12Rik	1.49754262114808	-0.12189476671041	2.29045675740499	0.823443953463078	3.10551347187312
1300001I01Rik	1.31201918059888	-0.0661267827603798	0.819764484637306	-0.28354541075411	0.943971144966868
1300010F03Rik	0.0816202762515423	0.0333416893471417	-0.137695351036885	-0.061179287671044	0.374271685251927
1300017J02Rik	0.0465423659718072	0.282825429828002	0.258323980331867	0.384284004412786	0.397279496155247
1300018I17Rik	-0.131212655891819	0.0114351885871757	0.24947656344154	-0.0570065184946573	-0.0417014499340556
15-Sep	-0.0970878903628094	-0.395254161786385	0.0650130126577562	0.127229545272046	-0.985116372188358
1500001M20Rik	0.72399746565566	0.171062324092	0.728831851791675	-0.10305862194578	-0.725785706524277
1500002F19Rik	-0.306952592700655	-0.328418010691	-0.140528319140919	0.0764608736836134	0.387748575313485
1500003O03Rik	-0.312076721136194	-0.23783680526857	-0.642524333126158	0.390252757726062	-0.346160534085262
1500004A13Rik	0.0970750602109787	-0.0536166498719286	0.00650549014754009	0.0191085026754765	0.0598411212906402
1500010J02Rik	1.1711526724965	0.316640329203353	1.25860855955697	0.264971301599751	0.996359704123711
1500011H22Rik	1.01198734545855	-0.0473955491729861	0.781047322558992	0.646486253487912	-0.783430696796844
1500015O10Rik	0.167770138512623	0.0294790601713864	-0.0725615179654895	-0.166345094974046	0.21551818902333
1500031L02Rik	-1.23202108246974	0.0713635091283233	-0.413385010450215	-0.218717739121185	-0.137198475939389
1500032L24Rik	-0.0967769189433767	0.130483996182148	-0.10892090869948	-0.71482625998733	-0.456118314649334
1600012F09Rik	-0.252357715600411	0.155665597358889	0.0372044392975113	0.208918446617526	-0.55725489768454
1600012H06Rik	-0.0629400551626951	-0.0791575259982875	-0.451486617055076	-0.0429836595659583	-0.809926632803551
1600014C10Rik	0.0612375471943905	-0.109857368503706	-0.187664846868128	-0.109857368503706	0.231372955270381
1600015I10Rik	0.0859924341405085	0.176970226886417	0.0859924341405085	0.23574641901959	0.1048131101074
1600029D21Rik	-0.131037094131891	0.120447010845591	0.280061883496736	0.188350625910118	0.133735996843244
1700001C19Rik	-0.178604793729582	0.163736837495558	-0.124473455737543	0.067576574090503	0.284116606679885
1700001F09Rik	0	-0.0691032976461261	0	0	0.0430578148066658
1700001G17Rik	-0.0115684167808405	0.0020412341333822	-0.0115684167808405	-0.0115684167808405	0.0633387906203291
1700001J03Rik	0.169238054033503	0	-0.0426474698381667	0.0264078197375675	0.192763904381177
1700001K19Rik	-0.0483653673788069	0.0198872785816215	-0.135838074833897	0.0176753723397205	0.222927242374306
1700001O22Rik	-0.301729196595038	0.0231238735995012	-0.00454317354132616	-0.00454317354132616	0.0276915050510489
1700008F21Rik	-0.192976073111865	-0.125432146602301	-0.130981528621279	-0.176283104732647	-0.0513461023969382
1700008P20Rik	-0.146063486903783	-0.205570098197739	-0.0937108011906833	-0.0982871371159266	-0.146063486903783
1700010I14Rik	-0.110585989723629	-0.244578885036094	-0.123713021319277	-0.0220119940928765	0.117574207637429
1700011A15Rik	-0.218357523612993	-0.0815874730726289	0	0.244185406748895	0.427409454625542
1700011H14Rik	-0.282369687455628	-0.102217936752743	-0.188448420435011	-0.102217936752743	0.15884618093793
1700012L04Rik	-0.296799766597629	0	-0.292651175020188	0.358264864319218	0.0919822748908636
1700016D06Rik	0.039706753596044	0.0536597828813878	0.118178405792502	0.0590691904601766	0.0590691904601766
1700017B05Rik	0.939301435158328	-0.120553552773501	1.24925910993714	0.324659366726592	0.267189265000455
1700018B24Rik	-0.221456952847763	0.0478666533113596	0.0221525717689985	0.0887165487562864	0.126997976758076
1700018F24Rik	-0.0126507022487985	0.00966980582347787	0.127839300563439	0.0324920084901539	-0.0449583950524133
1700019G06Rik	0	0.272362450992241	-0.101937071766839	0.167086312993219	0.0792662794611916
1700019G17Rik	-0.372345379819903	0.0456344617298887	-0.240250777685011	-0.236326901035173	-0.233519611084602
1700019L03Rik	0.00333821755984953	0.0571492302904542	-0.0954511582339475	-0.101444226105197	0.155559471370933
1700019N12Rik	-0.090633688436955	-0.0133821345573706	0.398331494278881	-0.0722341481957338	-0.0133821345573706
1700019N19Rik	-0.286299048616301	-0.10960252122799	-0.198118635995968	-0.0573902164113118	-0.165668332072911
1700020D05Rik	-0.0301309766189153	-0.0272549566317126	-0.00445055820173179	0	0
1700020I14Rik	0.272237600304557	-0.0367297401564883	-0.619172304290026	-0.135515148701665	-0.61293478452628
1700021F05Rik	0.159496188804063	0.04669964106869	-0.10818497155517	-0.298093255961467	-0.444983279531332
1700023D09Rik	-0.0534261423706148	-0.0172157633595251	-0.223671308631409	0.0787298391196032	-0.045612194090725
1700028P14Rik	-0.0652784469473735	0.251964788737502	-0.0920249160506845	0.15813066047965	0
1700029F12Rik	-0.0925955215391303	0.163801912383899	0	0.0446735149058171	0.196280462998764
1700029H14Rik	-0.222444871649446	-0.18721816436934	-0.151878582046415	-0.151878582046415	-0.329082274727426
1700029I01Rik	-0.245224888991023	-0.707009152454874	-0.217574006186509	-0.488833204603241	0.0477614471388037
