probe	qSC_1	qSC_2	aSC_1	aSC_2	TAC_1	TAC_2	gene.symbol								
1415670_at	7.9894	7.9234	8.5389	8.6074	8.0966	8.4569	Copg1								
1415671_at	10.5869	10.6265	10.5070	10.7476	10.3895	10.1561	Atp6v0d1								
1415672_at	10.8065	10.7168	10.7048	10.6997	10.7853	10.8100	Golga7								
1415673_at	8.8873	8.8259	9.3289	9.3580	10.6064	9.5931	Psph								
1415674_a_at	9.8391	10.0285	9.7155	9.8284	9.6872	9.4305	Trappc4								
1415675_at	8.8483	8.7772	8.8369	9.0315	8.6465	8.6142	Dpm2								
1415676_a_at	9.8015	9.7632	10.1196	10.4973	10.6047	10.8532	Psmb5								
1415677_at	8.3539	8.1998	8.1601	8.4939	8.2402	8.1197	Dhrs1								
1415678_at	9.5835	9.5484	9.3955	9.6045	9.6652	9.5346	Ppm1a								
1415679_at	11.0317	11.2219	10.8748	10.9382	11.1334	10.9047	Psenen								
1415680_at	8.5178	8.2948	8.5844	8.6235	9.0548	9.4714	Anapc1								
1415681_at	9.1686	9.0615	9.1458	9.3992	9.5812	9.6616	Mrpl43								
1415682_at	7.6318	7.4980	7.6519	7.5954	8.0983	8.4624	Xpo7								
1415683_at	9.5517	9.3748	9.7568	9.9147	10.2803	10.4310	Nmt1								
1415684_at	8.1925	8.4531	8.1789	8.0564	8.2472	8.3541	Atg5								
1415685_at	6.9320	6.7330	6.7083	6.7079	7.0269	7.3142	Mtif2								
1415686_at	8.5630	8.3511	8.5041	8.6213	8.6313	8.8649	Rab14								
1415687_a_at	10.9567	10.7984	10.9722	11.7446	9.6300	9.8348	Psap								
1415688_at	9.8043	9.6478	9.7061	9.4493	9.8232	10.0042	Ube2g1								
1415689_s_at	8.9029	8.9472	8.8687	8.9541	8.5952	8.8582	Zkscan3								
1415690_at	10.3127	10.2939	10.1649	10.2105	10.5388	10.4640	Mrpl27								
1415691_at	9.1263	8.9053	9.0133	8.9061	8.5279	8.7950	Dlg1								
1415692_s_at	10.7264	10.5295	10.7499	10.7242	11.0864	11.4380	Canx								
1415693_at	8.2346	8.2552	8.6106	8.8213	8.6983	8.7790	Derl1								
1415694_at	5.8506	6.0218	5.5811	6.4736	5.6477	6.5730	Wars								
