GeneSymbol	aHFSC1	aHFSC2	qHFSC	TAC1	TAC2
0610005C13Rik	NA	NA	NA	NA	NA
0610006L08Rik	NA	NA	NA	NA	NA
0610007C21Rik	0.0259518841807704	0.0934944258387702	-0.13792294403482	-0.474332084251662	-0.75315987533423
0610007L01Rik	-0.00768142263966265	0.284191167289147	0.0986081257460558	0.199199071391517	0.31958249295743
0610007N19Rik	0.302256185721431	0.157428920476643	0.275554368278022	NA	NA
0610007P08Rik	0.218670351414494	0.152193384279552	-0.0734935803937571	-0.0675597392663985	0.313250598054537
0610007P14Rik	0.171320441697985	0.284451433112634	0.125885459460891	0.392576258009154	0.635105699584244
0610007P22Rik	-0.207601025003731	0.0449624029854814	0.171512818283135	-0.214344426485409	-0.143331134420713
0610008F07Rik	NA	NA	NA	NA	NA
0610009B14Rik	NA	NA	NA	NA	NA
0610009B22Rik	-0.0252432001337972	-0.0728106462276248	0.172550726190504	-0.0833910141028404	-0.0927300195833407
0610009D07Rik	-0.108799154119348	-0.104103917986011	-0.130661981556625	0.345141185705575	0.214810822645852
0610009L18Rik	-0.360516511092008	0.177663606029641	0.633328070340555	NA	NA
0610009O20Rik	-0.521432607343313	-0.0347309464584669	0.33471937245302	-0.176929866845606	-0.00802942323967315
0610010B08Rik	-0.0515482899421107	-1.12350955018925	-0.103315017796819	-0.00296241278414477	-0.709609514003848
0610010F05Rik	0.52429498315656	-0.0144237005019887	-0.263093467662836	0.407443912207785	0.630096907690085
0610010K14Rik	0.00739016540698945	0.346802722514883	0.147656267356758	0.288695203970627	0.426150313458418
0610010O12Rik	0.209568179435315	0.463670461933688	-0.0187312955340211	-0.163169456262054	-0.449146047728597
0610011F06Rik	0.192434767412063	0.241452207486941	-0.00353417240310749	0.0682419199284299	-0.0365163278476617
0610011L14Rik	-0.268996893319882	0.0675871685624725	0.135831437809166	-0.19917893222375	-0.22413357923677
0610012G03Rik	-0.347226226260664	-0.119193899518638	-0.0689292664505299	0.34260224893492	-0.0515374081842399
0610012H03Rik	NA	NA	NA	NA	NA
0610025J13Rik	NA	NA	NA	NA	NA
0610030E20Rik	-0.346578479744368	-0.104959007618385	-0.0739476821908909	-0.267352406070917	-0.033890242798174
0610031J06Rik	-0.271653772738992	0.0909654788305581	0.173241892898357	-0.733968645631599	-1.01842070032785
0610033M10Rik	NA	NA	NA	NA	NA
0610037L13Rik	0.408944699392546	0.129855848388967	0.139292350862146	0.0672054242862732	0.24301449648434
0610037P05Rik	0.0457417488364946	0.164289889389837	0.209982830707435	0.0785248832845387	0.0427552351741181
0610038B21Rik	NA	NA	NA	NA	NA
0610038L08Rik	NA	NA	NA	NA	NA
0610039K10Rik	NA	NA	NA	NA	NA
0610040A22Rik	NA	NA	NA	NA	NA
0610040B09Rik	-0.370377870482459	-0.505935976434628	0.10323574840187	-1.08260265429486	-0.847239313456441
0610040B10Rik	NA	NA	NA	NA	NA
0610040F04Rik	NA	NA	NA	NA	NA
0610040J01Rik	NA	NA	NA	NA	NA
0610042E11Rik	NA	NA	NA	NA	NA
0710001A04Rik	NA	NA	NA	NA	NA
0710001D07Rik	-0.0881295082342834	0.0940403825517313	-0.0150991033132062	0.140512144585314	0.0874248592657043
0710007G10Rik	NA	-0.510790348638152	-0.0156030088933212	NA	NA
0910001L09Rik	0.0117899227482692	0.238130350863791	0.203441466309513	-0.189514019518539	-0.528047072784368
1-Mar	NA	NA	NA	NA	NA
1-Sep	NA	NA	NA	NA	NA
10-Mar	NA	NA	NA	NA	NA
10-Sep	0.130951756394811	-0.268127799625193	-0.0810657306698159	-0.138398761748749	-0.160894066339207
100043387	-0.347482611922992	-1.34930367159094	-0.26449688138306	-0.0428760412475313	-0.574344901699709
1010001B22Rik	NA	NA	NA	NA	NA
1010001I08Rik	NA	NA	NA	NA	NA
11-Mar	NA	NA	NA	NA	NA
11-Sep	0.850211578794083	0.576233168132672	-0.143537981401114	1.60449268333252	2.13940011493756
1100001G20Rik	-2.21602884670753	-4.04567941810533	-0.109740072216093	-0.847517236582878	-4.22688643361646
1110001A16Rik	-0.412087784482871	-0.532195756533445	0.19246556609726	-0.798177779361373	-1.08309886873795
1110001J03Rik	-0.0523124911812332	0.0388428062898143	0.17413433309401	0.911404104991027	0.975136454354415
1110002B05Rik	-0.335610789192708	-0.263926727318312	-0.104495862997606	0.0127286673179512	-0.362442144156727
1110002E22Rik	NA	NA	NA	NA	NA
1110002L01Rik	-0.0709176917144827	-0.0163078384133168	NA	NA	0.169366204188935
1110002N22Rik	-0.111050194377294	0.0504209334783345	0.146729283625961	0.0213570754370505	0.401020596416442
1110003E01Rik	-0.837559146572003	-0.581739581450817	0.0522849258671396	-1.11115072531503	-1.36985249874252
1110003F02Rik	NA	NA	NA	NA	NA
1110004E09Rik	0.0601154713093015	0.0913969753387684	-0.108017618095853	0.424794569544415	0.564687416547367
1110004F10Rik	0.216085027127008	0.38411990849813	-0.157044057948706	0.436361357466215	0.729387846764372
1110004M10Rik	NA	NA	NA	NA	NA
1110005A03Rik	-0.667024616747801	-0.479143313831973	0.134568995039324	-0.619798428497977	-0.87236507333645
1110006E14Rik	NA	NA	NA	NA	NA
1110006G14Rik	NA	NA	NA	NA	NA
1110006O24Rik	NA	NA	NA	NA	NA
1110007C09Rik	-0.621465143446573	-0.375058850258465	0.00950600272994606	-1.01310755734151	-1.5294348443177
1110008E08Rik	NA	NA	NA	NA	NA
1110008F13Rik	0.0405931569476863	0.519284630108285	0.0311213537828419	0.364755698270123	0.434308512523291
1110008J03Rik	NA	0.300080451402116	-0.0259905922148302	-0.0768753748136763	0.0136006923394634
1110008L16Rik	NA	-0.43562134803965	NA	0.064450420376656	0.438403117793829
1110008P14Rik	0.430318251345112	0.593918571207512	0.0852718066427238	1.04009561748622	0.349764230666526
1110012J17Rik	NA	NA	NA	NA	NA
1110012L19Rik	-0.127564442260853	-0.145864043416035	0.072547513239785	-0.74335631147839	-0.996648688087795
1110014L15Rik	NA	NA	NA	NA	NA
1110014N23Rik	-0.0981818677745556	0.277058654537611	0.285571818800576	0.53447503390984	0.451405697264903
1110015O18Rik	NA	NA	NA	NA	NA
1110017D15Rik	NA	NA	NA	NA	NA
1110017F19Rik	NA	NA	NA	NA	NA
1110018F16Rik	-0.526419654351034	-0.747394237691633	0.154544156151202	NA	-1.57865476010062
1110018G07Rik	0.111907866716376	0.250953136772781	-0.0954878290936509	-0.0190655907392738	0.176202430973317
1110018J18Rik	-0.573913916717418	-0.531655145338071	-0.551780644447859	-0.774223730641942	-1.1082440983289
1110018N20Rik	NA	NA	NA	NA	NA
1110019B22Rik	NA	NA	NA	NA	NA
1110019D14Rik	0.0788374909267748	-0.0993867725799884	NA	-0.461424115876487	-0.470888124216311
1110020A10Rik	-1.67691073531233	-2.58322094264101	-0.79284181612197	1.97312896687664	0.599364467882708
1110020A21Rik	NA	NA	NA	NA	NA
1110020C17Rik	NA	NA	NA	NA	NA
1110021J02Rik	-0.369113293006129	-0.606028797878029	-0.323169563619937	-0.86768344262425	-0.860195825363001
1110021L09Rik	0.0562835232396184	0.181350983825101	-0.159975480569672	-0.372509360777168	-0.483541823099888
1110028F11Rik	NA	NA	NA	NA	NA
1110028F18Rik	NA	NA	NA	NA	NA
1110031I02Rik	0.101563439779474	0.0449849785323249	0.149717137910033	-0.40352345237638	-0.502557777379304
1110032A03Rik	0.0270354465882487	-0.151161526580031	0.225249893327939	-0.204140206627526	-0.558647102650837
1110032A04Rik	-0.448216848512659	0.365838687636876	-0.135478859459282	2.58681666323548	3.37085788363769
1110032F04Rik	NA	NA	NA	NA	NA
1110034A24Rik	0.0491660119159505	0.00469827852321636	-0.0147465541511131	0.563292537256932	0.868443189167178
1110034B05Rik	-0.398072924984453	-0.572404690086376	-0.369722023215303	-0.161429607070922	0.168006495182285
1110034G24Rik	-0.293602436175302	0.0327692018524548	-0.0753575844981387	0.0523193929253343	-0.282173897894512
1110035E04Rik	NA	NA	NA	NA	NA
1110035H17Rik	NA	NA	NA	NA	NA
1110035M17Rik	NA	NA	NA	NA	NA
1110037F02Rik	-0.100458584159233	-0.0386353336788172	-0.215635159915548	-0.151261796367251	0.398186323233832
1110038B12Rik	0.737330999920406	0.525608712571216	-0.202690213421066	1.50422286050085	1.70557336446443
1110038D17Rik	0.506262546566384	0.724023407180923	-0.143190776251856	-0.0325447652873532	0.367219511447098
1110038F14Rik	-0.0466352598061395	0.263065070126316	0.147293842086382	-0.0920424606532038	0.104669091664494
1110046J04Rik	NA	0.144693208606784	NA	NA	NA
1110049F12Rik	-0.247241645141218	-0.110110010534829	0.0630219303425914	0.306626516715937	0.366722468566609
1110050K14Rik	NA	NA	NA	NA	NA
1110050P16Rik	NA	NA	NA	NA	NA
1110051M20Rik	0.425844853553736	0.28519587386206	0.47801385368552	0.0483374210728664	-0.0996233057587848
1110054M08Rik	-0.629323838367913	-0.477974463182066	0.0513541946106173	-1.73876929677793	-2.0655665870052
1110054O05Rik	-0.277632434282879	-0.313915111990537	-0.245485552441379	0.352543695276443	1.1931041239439
1110057K04Rik	-0.202601773319118	0.172582031575443	-0.0148415264048807	0.14896708630523	0.208840969609878
1110058L19Rik	0.349848133453744	0.294300385905247	-0.113764236523533	-0.215111225225135	-0.185017619430567
1110059E24Rik	-0.30393929503798	-0.605574062138244	0.0627842452548837	0.0432580932952789	0.378803797836117
1110059G02Rik	-0.324586026140505	-0.388944566619313	-0.408724870572287	-0.153965819022089	0.265396221955368
1110059G10Rik	-0.652394562017077	-0.754861116368076	-0.0971710781706783	-0.790228973752404	-0.504001085371071
1110059M19Rik	NA	NA	NA	NA	NA
1110064A23Rik	NA	NA	NA	NA	NA
1110065P20Rik	0.403793919012038	0.450073641002716	-0.0231144809013299	0.381811111016331	0.213819494855322
1110067D22Rik	-0.42123076725688	-0.646525487954509	-0.290492453151352	-0.21368412034646	-0.0587835661819671
1190002F15Rik	NA	NA	NA	NA	NA
1190002H23Rik	-0.865324364488487	-0.648890986880278	0.376304774110606	2.94879980486479	1.7248958001754
1190002N15Rik	1.73677090667882	1.1720060211821	-0.130238789652009	0.690354517251523	1.2972453663739
1190003J15Rik	-0.130434278637008	0.0514592565474592	0.0510843987043685	-0.974151883895732	-1.44184067667526
1190003K10Rik	NA	NA	NA	NA	NA
1190005F20Rik	-0.170459451525309	-0.170579739063816	0.0222695693259665	-0.201809838637844	0.271780340856301
1190005I06Rik	-0.568291640273772	-0.196662387163803	-0.178572323678355	-1.96261696971862	-2.5728613698857
1190007F08Rik	0.106434367830646	0.327324469740486	-0.353990114616094	-2.09285008235189	-1.62836294302361
1190007I07Rik	0.264690270277978	0.543854435570779	0.215694154206915	0.910282309381177	1.30284372545957
12-Sep	NA	NA	NA	NA	NA
1200003I10Rik	1.07344194948684	0.502179069965763	0.952138916974954	0.708227516980678	-0.118705893506437
1200007C13Rik	NA	NA	NA	NA	NA
1200009I06Rik	NA	NA	NA	NA	NA
1200011I18Rik	-0.228873498411515	-0.351081604744206	-0.0667324849885533	0.102147507648114	0.249217619994914
1200011M11Rik	-0.0081233101230449	0.107868507029471	-0.245172727544596	NA	0.416127105578278
1200014J11Rik	0.0151223081187286	0.0340148745699338	-0.0535696746945886	0.122379235709879	0.400515728930716
1200015M12Rik	1.05383310076247	0.390693057553525	0.968453300205426	0.703363188392765	-0.164586559356433
1200016B10Rik	-0.746867327190906	-1.21368552224313	-0.0483315581483623	-0.77660435222979	-0.823389649098784
1300001I01Rik	0.164976620845457	0.754077278711758	0.0515461989686159	0.656308811028747	1.05563089760418
1300002E11Rik	NA	-0.584094873474759	-0.503964368680635	NA	-0.284095314067673
1300002K09Rik	NA	NA	NA	NA	NA
1300010F03Rik	0.0560344277272331	0.107525964990786	-0.0154736606632198	0.258036851481191	0.563364972828174
1300014I06Rik	-0.937493152855863	-0.831529065611079	-0.173894377970006	-2.22361653043999	-3.669004443581
1300014J16Rik	NA	NA	NA	NA	NA
1300015D01Rik	NA	NA	NA	NA	NA
1300017J02Rik	NA	NA	NA	NA	NA
1300018I17Rik	-0.315029924222945	0.442700773404983	0.179274099406454	-0.442290519321553	0.120928512834533
1300018J18Rik	-0.379857729881519	-0.0597832567405732	-0.0727639156861644	-0.398103800288092	-0.513061374858222
130004C03	NA	NA	NA	0.254004816267611	NA
14-Sep	NA	NA	NA	NA	NA
15-Sep	0.303993991882619	0.0845661317905257	-0.184082956921904	-0.558621301562923	-0.41521436222552
1500001M20Rik	0.157753669326775	0.0835460481092714	0.0381106686013153	1.05326178400377	1.02728739855428
1500002C15Rik	NA	NA	NA	NA	NA
1500002F19Rik	NA	NA	NA	NA	NA
1500002I01Rik	NA	NA	NA	NA	NA
1500002K03Rik	NA	NA	NA	NA	NA
1500002O10Rik	NA	NA	NA	NA	NA
1500002O20Rik	0.222203457993619	0.408771425457892	0.317731240108258	0.289939403456297	0.408771425457892
1500003O03Rik	-0.219885111327226	0.192742172158326	0.182861924997749	0.373577658096657	0.0561375279998861
1500004A13Rik	NA	NA	NA	NA	NA
1500004F05Rik	NA	NA	NA	NA	NA
1500005C15Rik	NA	NA	NA	NA	NA
1500009C09Rik	NA	NA	NA	NA	NA
1500009L16Rik	NA	NA	NA	NA	NA
1500010J02Rik	-0.127582681306909	0.0595349421379607	-0.0331895671799631	0.379370128615087	0.757625860901806
1500011B03Rik	0.230121437474838	0.492338338496386	0.112644623276982	-0.256593176830649	-0.0561640241510455
1500011H22Rik	0.228489564917477	0.118356677641774	-0.0296964145480096	0.199043589793864	0.242855761990472
1500011K16Rik	-0.197598399915053	-0.278864689415924	0.0634484733383598	-0.0450403675130673	-0.366016392396864
1500012F01Rik	-0.137034736961125	-0.214500092817385	0.0251821616945254	0.289710388302668	0.313971842409952
1500015A07Rik	0.441677967734108	0.205795132982968	0.25498278930791	1.21636702410282	0.918504913555993
1500015O10Rik	NA	NA	NA	NA	NA
1500016L03Rik	NA	NA	NA	NA	NA
1500017E21Rik	NA	NA	NA	NA	NA
1500031L02Rik	0.253738870596622	0.302312456819783	0.272379513241428	-0.23876862263627	0.118457181400149
1500032L24Rik	0.0559847123110213	0.220405060535176	0.0148286367360235	0.0970650902073604	0.0566129406540394
1500032P08Rik	NA	NA	NA	NA	NA
1500035N22Rik	NA	NA	NA	NA	NA
1520401O13Rik	NA	NA	NA	NA	NA
1520402A15Rik	NA	NA	NA	NA	NA
1600002H07Rik	0.135504801944785	0.268475857991085	0.227740442065079	0.475268339754421	0.729004183136149
1600002K03Rik	-0.345415370309683	-0.161391935253699	0.203627863090768	0.368053805149493	0.0809438527107353
1600010M07Rik	NA	-0.430042206236625	NA	0.049741822688695	NA
1600012F09Rik	0.047430976217349	-0.215691837137395	-0.0348802048514387	0.552472217704599	0.734934656061951
1600012H06Rik	-0.200079824949039	-0.0966541723304024	-0.17649169654879	-0.492320432448131	-0.400482693794391
1600012P17Rik	NA	NA	0.249722858665676	NA	NA
1600014C10Rik	NA	-0.00358349824400772	0.583579924130519	0.715760083220133	0.286509989543057
1600014C23Rik	NA	NA	NA	NA	NA
1600014K23Rik	NA	NA	NA	NA	-0.404348958450961
1600015I10Rik	NA	NA	NA	NA	NA
1600016N20Rik	NA	NA	NA	NA	NA
1600020E01Rik	-0.747748674228358	-0.427418535857461	0.148914095837558	-0.967892270246873	-0.885647897976422
1600021P15Rik	-0.469254838421366	-0.106093422444409	0.0573443333440551	-0.758661859401585	-0.150835867841396
1600022D10Rik	NA	NA	NA	NA	NA
1600023N17Rik	NA	NA	NA	NA	NA
1600025M17Rik	NA	NA	NA	NA	NA
1600027N09Rik	-0.457030071649146	-0.369369931482391	0.153556350003458	-0.279764060656218	-0.209424629456057
1600029D21Rik	-0.383710898905546	0.157981068768436	-0.20968786078706	2.70477588715788	1.80214689641392
1600029I14Rik	NA	NA	NA	NA	NA
1600029O15Rik	NA	NA	NA	NA	NA
1700001C02Rik	NA	NA	NA	NA	NA
1700001C19Rik	NA	NA	NA	NA	NA
1700001D01Rik	NA	NA	NA	NA	NA
1700001F09Rik	NA	NA	NA	NA	NA
1700001G11Rik	NA	NA	NA	NA	NA
1700001G17Rik	NA	NA	NA	NA	NA
1700001J03Rik	NA	NA	NA	NA	NA
1700001J04Rik	NA	NA	NA	NA	NA
1700001K19Rik	NA	NA	NA	NA	NA
1700001L05Rik	NA	NA	NA	NA	NA
1700001L19Rik	NA	NA	NA	NA	NA
1700001O22Rik	NA	NA	NA	NA	NA
1700001P01Rik	NA	NA	NA	NA	NA
1700003D09Rik	NA	NA	NA	NA	NA
1700003E16Rik	NA	NA	NA	NA	NA
1700003E24Rik	NA	NA	NA	NA	NA
1700003F12Rik	NA	NA	NA	NA	NA
1700003F17Rik	NA	NA	NA	NA	NA
1700003G18Rik	NA	NA	NA	NA	NA
1700003H04Rik	NA	NA	NA	NA	NA
1700003I16Rik	NA	NA	NA	NA	NA
1700003M02Rik	NA	NA	NA	NA	NA
1700003P14Rik	NA	NA	NA	NA	NA
1700006A11Rik	NA	NA	NA	NA	NA
1700006E09Rik	NA	NA	NA	NA	NA
1700006F04Rik	NA	NA	NA	NA	NA
1700006J14Rik	NA	NA	NA	NA	NA
1700007B14Rik	NA	NA	NA	NA	NA
1700007E05Rik	NA	NA	NA	NA	NA
1700007F19Rik	NA	NA	NA	NA	NA
1700007G11Rik	NA	NA	NA	NA	NA
1700007I08Rik	NA	NA	NA	NA	NA
